Order,DES Station ID,Sample Date,EPA Designation,Depth,Weather,Phycocyanin_µg/L_Beagle_Fresh_Unfiltered,Chlorophyll_µg/L_Beagle_Fresh_Unfiltered,Phycocyanin_RFU_Turner_Fresh_Unfiltered,Chlorophyll_RFU_Turner_Fresh_Unfiltered,Phycocyanin_µg/L_Beagle_Fresh_Filtered,Chlorophyll_µg/L_Beagle_Fresh_Filtered,Phycocyanin_RFU_Turner_Fresh_Filtered,Chlorophyll_RFU_Turner_Fresh_Filtered,Phycocyanin_RFU_Beagle_Frozen_Unfiltered,Chlorophyll_RFU_Beagle_Frozen_Unfiltered,Phycocyanin_µg/L_Turner_Frozen_Unfiltered,Chlorophyll_µg/L_Turner_Frozen_Unfiltered,Phycocyanin_RFU_Beagle_Frozen_Filtered,Chlorophyll_RFU_Beagle_Frozen_Filtered,Phycocyanin_µg/L_Turner_Frozen_Filtered,Chlorophyll_µg/L_Turner_Frozen_Filtered
1,SUNSUN1D,7/22/2014,WL#1,3.0,"Hazy, calm, hot",0.10,0.05,0.193,3.013,0.10,0.00,0.064,-0.064,,,,,,,,
2,SUNSUN220D,7/22/2014,WL#3,3.0,"Hazy, calm, hot",1.50,0.00,0.124,1.276,0.10,0.00,0.028,-1.444,,,,,,,,
3,SUNSUN2D,7/22/2014,WL#2,3.0,"Hazy, calm, hot",0.10,0.00,0.192,1.954,2.00,0.00,0.038,-1.107,,,,,,,,
4,SUNSUN3D,7/22/2014,WL#4,3.0,"Hazy, calm, hot",0.10,0.01,0.077,0.751,0.10,0.00,0.010,-1.665,,,,,,,,
5,SUNSUN1D,8/19/2014,WL#1,3.0,"Clear, breezy, hot",,,,,,,,,,,,,,,,
6,SUNSUN2D,8/19/2014,WL#2,3.0,"Clear, breezy, hot",,,,,,,,,,,,,,,,
7,SUNSUN220D,8/19/2014,WL#3,3.0,"Clear, breezy, hot",,,,,,,,,,,,,,,,
8,SUNSUN3D,8/19/2014,WL#4,3.0,"Clear, breezy, hot",,,,,,,,,,,,,,,,
9,HALALTD,7/25/2014,WL#1,3.0,"Clear, calm, cool",1.00,0.28,0.269,6.508,0.10,0.13,0.106,0.390,,,,,,,,
10,HALALTPUB,7/25/2014,SS#2,1.0,"Clear, calm, cool",0.10,0.23,0.218,7.379,0.10,0.13,0.018,-0.009,,,,,,,,
11,HALALTR,7/25/2014,SS#1,1.0,"Clear, calm, cool",0.10,0.23,0.227,6.040,0.10,0.13,0.027,0.342,,,,,,,,
12,HALALTHWB,7/25/2014,SS#3,1.0,"Clear, calm, cool",0.55,0.35,0.239,5.506,0.10,0.10,0.130,1.991,,,,,,,,
13,HALALTD,8/22/2014,WL#1,3.0,"Cloudy, breezy, cool",3.50,0.55,0.190,8.483,2.00,0.31,0.035,1.722,,,,,,,,
14,MESNWLD,7/26/2014,WL#1,3.0,,,,,,,,,,,,,,,,,
15,BCHTWBHUDCR,7/31/2014,GRAB,0.0,,20.50,1.32,4.715,20.430,1.00,0.41,0.234,7.711,,,,,,,,
16,OTTHUDBL,7/31/2014,GRAB,0.0,,863.87,8.67,102.500,164.600,48.00,1.84,8.415,19.630,,,,,,,,
17,LONPELNHD,7/31/2014,WL#3,3.0,"Hazy, breezy, warm",5.00,1.58,1.640,40.190,0.10,0.10,0.312,3.419,,,,,,,,
18,BCHTWBPELRT,8/8/2014,SS#1,1.0,"Sunny, calm, hot",8.50,2.17,2.328,96.150,1.50,0.23,0.178,3.399,,,,,,,,
19,FREHENCAMP,8/1/2014,SS#2,1.0,"Hazy, breezy, warm",2.50,0.95,0.594,23.040,0.10,1.08,0.065,20.870,,,,,,,,
20,FREHEND,8/1/2014,WL#1,3.0,"Hazy, breezy, warm",2.00,1.32,0.638,31.330,0.10,0.91,0.000,20.080,,,,,,,,
21,FREHENL,8/1/2014,SS#1,1.0,"Hazy, breezy, warm",2.00,1.31,0.548,28.590,2.00,1.01,0.000,24.390,,,,,,,,
22,FREHEND2,8/1/2014,WL#2,3.0,"Hazy, breezy, warm",3.50,1.13,0.514,29.150,0.10,0.91,0.159,21.550,,,,,,,,
23,FREHEND3,8/1/2014,WL#3,3.0,"Hazy, breezy, warm",0.10,1.04,0.497,21.550,0.10,0.65,0.000,14.480,,,,,,,,
24,BCHSELSDNRT,8/4/2014,GRAB,0.0,,1797.63,13.11,236.400,278.400,41.00,1.32,3.294,9.093,,,631.5,361.5,,,1.66,12.64
25,BCHSELSDNRT,8/8/2014,SS#1,1.0,"Sunny, calm, hot",5.00,1.14,0.332,9.951,1.50,1.02,0.033,3.880,,,0.415,6.38,,,1.331,6.234
26,PHISDND,9/14/2014,WL#1,3.0,"Clear, breezy, cool",1.00,1.28,0.355,14.720,0.10,1.05,0.156,8.835,,,0.654,8.577,,,0.278,7.818
27,Phillips Pond WL#2,9/14/2014,WL#2,3.0,"Clear, breezy, cool",1.00,1.17,0.525,15.580,0.10,0.92,0.055,5.703,,,0.772,7.472,,,0.236,5.219
28,Phillips Pond WL#3,9/14/2014,WL#3,3.0,"Clear, breezy, cool",8.00,1.26,0.669,15.670,6.50,1.05,0.176,8.216,,,0.851,10.23,,,0.217,6.866
29,Phillips Pond SS#1,9/14/2014,SS#1,1.5,"Clear, breezy, cool",4.00,1.22,0.370,14.730,0.10,0.85,0.057,5.401,,,0.569,7.899,,,0.764,5.157
30,Phillips Pond SS#2,9/14/2014,SS#2,1.5,"Clear, breezy, cool",4.50,1.17,0.442,14.910,1.00,0.91,0.063,5.433,,,0.517,8.803,,,0.217,4.913
31,BCHSLSHLSLF,8/4/2014,GRAB,0.0,Sunny,1218.49,18.95,226.400,465.900,26.00,0.47,2.199,2.674,,,121.8,76.47,,,0.871,1.737
32,BCHSLSHLSRT,8/8/2014,SS#1,1.0,"Sunny, calm, hot",8.50,0.02,0.211,2.900,0.10,0.07,0.017,2.182,,,0.387,0.202,,,0.125,-1.779
33,BCHSLSHLSLF,9/3/2014,GRAB,0.0,"Clear, calm, hot",1715.33,18.76,290.900,475.300,240.11,1.73,18.860,12.880,16998.17,71.37,171.6,96.58,18.50,0.61,8.631,3.795
34,DANLFRED,8/5/2014,WL#1,3.0,"Clear, calm, hot",1.00,0.70,0.301,15.900,1.50,0.50,-0.082,2.215,,,,,,,,
35,Lower Danforth WL#2,8/5/2014,WL#2,3.0,"Clear, calm, hot",1.00,2.01,1.390,27.360,0.10,0.64,0.167,5.379,,,,,,,,
36,Lower Danforth WL#3,8/5/2014,WL#3,3.0,"Clear, calm, hot",2.00,0.77,1.047,9.211,1.50,0.61,0.104,3.114,,,,,,,,
37,DANLFRED,9/30/2014,WL#1,3.0,"Rainy, calm, cool",2.50,0.59,0.382,19.980,2.50,0.31,-0.110,-0.434,,,,,,,,
38,BROOSSD,8/5/2014,WL#4,3.0,"Clear, breezy, hot",1.00,0.56,0.318,8.166,0.10,0.31,0.105,3.151,,,,,,,,
